abstruse - трудный для понимания  
acquiescence - молчаливое согласие  
adumbrate - предвещать, намечать в общих чертах  
fulsome – чрезмерный, избыточный (в отрицательном смысле)
fungible – взаимозаменяемый
gainsay – отрицать, противоречить
galvanize – побуждать, стимулировать
gambol – скакать, резвиться
garish – кричащий, вычурный
gauche – неуклюжий, неотесанный
germane – уместный, соответствующий
glib – поверхностный, болтливый
grandiose – грандиозный, великолепный
guile – хитрость, коварство
gustatory – вкусовой, относящийся ко вкусу
halcyon – безмятежный, спокойный
harangue – тирада, разглагольствование
heinous – отвратительный, подлый
hermetic – герметичный, закрытый
heterodox – инакомыслящий, нетрадиционный
histrionics – театральность, наигранность
homily – нравоучительная речь, поучение
iconoclast – иконоборец, критик традиций
idiosyncrasy – особенность, идиосинкразия
ignominious – позорный, бесчестный
illicit – незаконный, запретный
imago – образ, идеал
imbroglio – путаница, запутанная ситуация
impetrate – добиться, заполучить
implacable – неумолимый, непримиримый
imprecation – проклятие, заклинание
impugn – оспаривать, опровергать
inadvertent – непреднамеренный, случайный
incarnadine – кровавый, алый
incisive – резкий, проницательный
incongruity – несуразность, несоответствие
incontrovertible – неопровержимый, неоспоримый
incorrigible – неисправимый, неподдающийся исправлению
indefatigable – неутомимый, неустанный
indelible – неизгладимый, несмываемый
indigent – нуждающийся, бедный
indomitable – неукротимый, непобедимый
ineffable – невыразимый, непередаваемый
inextricable – неразрешимый, неразделимый
ingratiate – льстить, угождать
inimical – враждебный, неблагоприятный
inimitable – неподражаемый, уникальный
inscrutable – непостижимый, загадочный
insolent – дерзкий, наглый
instigate – подстрекать, возбуждать
insuperable – непреодолимый, неодолимый
intimation – намёк, указание
intractable – упрямый, неуправляемый
internecine – губительный, взаиморастворяющийся
interregnum – межправление, перерыв в управлении
intransigent – непримиримый, упрямый
inundate – затоплять, переполнять
inure – приучать, привыкать
invective – брань, оскорбления
inveigh – яростно осуждать, критиковать
invidious – неблагоприятный, вызывающий зависть
irascible – раздражительный, вспыльчивый
irrefragable – неопровержимый, несомненный
irrevocable – безотзывный, окончательный
itinerant – кочующий, странствующий
jejune – банальный, скучный
jocular – шутливый, остроумный
judicious – благоразумный, рассудительный
juncture – переломный момент, стык
kaleidoscopic – калейдоскопический, многообразный
lambent – мерцающий, мягко сияющий
lassitude – вялость, апатия
latent – скрытый, латентный
lecherous – похотливый, распутный
liberality – щедрость, великодушие
limpid – прозрачный, ясный
lionize – превозносить, прославлять
litigious – судебный, конфликтный
loquacity – многословие, болтливость
lucid – ясный, понятный
lurid – кричащий, яркий (иногда мрачный)
magniloquent – высокопарный, напыщенный
mawkish – приторно-сентиментальный, надутый
mellifluous – сладкозвучный, мелодичный
mendacious – лживый, неправдивый
mercurial – изменчивый, непостоянный
metamorphosis – превращение, метаморфоза
meticulous – скрупулёзный, дотошный
milieu – окружение, среда
minatory – угрожающий, пугающий
miscreant – преступник, негодяй
misanthrope – человеконенавистник, мизантроп
miscreance – неверие, сомнение
modicum – капля, малая мера
molest – беспокоить, изводить
monolithic – монолитный, цельный
monomania – навязчивая идея, мания
moribund – умирающий, гибнущий
mordant – едкий, колкий
multifarious – многообразный, разнообразный
munificence – великодушие, щедрость
nascent – зарождающийся, начинающий
nebulous – туманный, неясный
nemesis – возмездие, наказание
neophyte – новичок, неопытный
noisome – зловонный, противный
nonplussed – озадаченный, растерянный
obdurate – непреклонный, упрямый
obfuscation – запутывание, помутнение
oblivion – забвение, небытие
obloquy – порицание, осуждение
obstreperous – неуправляемый, буйный
obtuse – тупой, невежественный
occult – оккультный, скрытый
odious – отвратительный, ненавистный
officious – самонадеянный, назойливый
omniscient – всеведущий
onus – бремя, обязанность
opprobrium – позор, порицание
oscillate – колебаться, качаться
ostensible – кажущийся, предположительный
palliate – смягчать, облегчать
palpable – осязаемый, явный
panegyric – хвалебная речь, восхваление
paradoxical – парадоксальный
paragon – эталон, образец
pariah – изгой, отверженный
parsimonious – скупой, бережливый
partisan – предвзятый, сторонник
paucity – недостаток, скудость
pejorative – уничижительный, негативный
penurious – бедный, скупердяй
perfidious – вероломный, предательский
perspicacity – проницательность, остроумие
pertinacity – упорство, настойчивость
peruse – тщательно изучать, вникать
pervasive – всепроникающий, распространённый
picaresque – пикарескный, приключенческий
pithy – ёмкий, содержательный
placidity – спокойствие, умиротворённость
plangent – звучный, резонансный
platitude – банальность, банальное высказывание
plethora – избыток, множество
plutocracy – власть денег, олигархия
politic – благоразумный, рассудительный
porcine – свиной, грубый
posit – предполагать, утверждать
postulate – постулировать, выдвигать гипотезу
prandial – относящийся к приёму пищи
preclude – исключать, предотвращать
preeminent – выдающийся, превосходящий
premonition – предчувствие, предзнаменование
preponderance – преобладание, превосходство
prescience – прозорливость, предвидение
prevaricate – уклоняться от правды, лукавить
primordial – первобытный, изначальный
probity – честность, добродетель
procure – приобретать, добывать
profligate – расточительный, разгульный
progeny – потомство, порождение
prolixity – многословие, избыточность
propitiate – умиротворять, усмирять
propound – выдвигать, предлагать
prosaic – прозаичный, обыденный
provident – предусмотрительный, экономный
provincial – провинциальный, ограниченный
puerile – инфантильный, детский
pulchritude – красота, прелесть
punctilious – педантичный, скрупулёзный
pyrrhic – пиррова победа (с победой, обернувшейся большими потерями)
quandary – дилемма, затруднительное положение
querulous – ворчливый, жалобный
quiescent – бездействующий, спокойный
quotidian – обыденный, ежедневный
raconteur – рассказчик, байочник
rapprochement – сближение, налаживание отношений
rarefied – разреженный, утончённый
rebuke – упрекать, отчитывать
recant – отрекаться, отказываться
recondite – сокровенный, трудный для понимания
redoubtable – устрашающий, внушительный
refulgent – сияющий, блестящий
remonstrance – протест, возражение
renunciation – отречение, отказ
reparation – компенсация, возмещение
reprobation – осуждение, порицание
resilient – упругий, жизнестойкий
resplendent – ослепительный, великолепный
reticence – сдержанность, молчаливость
reverberate – отдаваться эхом, резонировать
rhapsodic – восторженный, экстатичный
ribald – грубый, непристойный
rife – изобильный, распространённый
ruminate – обдумывать, переваривать (в уме)
salacious – похотливый, непристойный
sangfroid – хладнокровие, самообладание
saturnine – мрачный, угрюмый
scintilla – искра, крошечная частица
scurrilous – клеветнический, грязный
sedulous – усердный, старательный
semaphore – семафор, сигнал
sentient – чувствующий, осознающий
solicitous – заботливый, внимательный
somatic – телесный, соматический
sonorous – звучный, благозвучный
sordid – грязный, подлый
stalwart – стойкий, надёжный
strident – резкий, пронзительный
stricture – ограничение, порицание
subjugation – порабощение, подчинение
subterfuge – уловка, оправдание
sublime – возвышенный, великолепный
subservience – раболепие, покорность
substantiate – подтверждать, обосновывать
supplant – заменять, вытеснять
surfeit – избыток, переизбыток
sybaritic – распущенный, склонный к роскоши
sylvan – лесной, пасторальный
tacit – молчаливый, негласный
tangential – побочный, несущественный
temerity – безрассудство, дерзость
tenebrous – мрачный, темный
timorous – робкий, боязливый
torpor – оцепенение, апатия
tractable – послушный, управляемый
transcendental – возвышенный, трансцендентальный
transmutation – превращение, преобразование
trenchant – острый, резкий
trenchantness – острота, резкость
tumultuous – бурный, хаотичный
unceremonious – неофициальный, грубый
usurious – ростовщический, свыщенный
uxorious – чрезмерно любящий свою жену
vacuous – пустой, бессодержательный
venial – прощаемый (о грехах), незначительный
verbatim – дословно, точно
veracious – правдивый, достоверный
verisimilar – правдоподобный
vicissitudinous – переменчивый, изменчивый
vindictive – мстительный, злопамятный
virtuosic – виртуозный, мастерский
visceral – интуитивный, органичный
vitriolic – едкий, колкий
wanton – бессмысленный, злонамеренный
winsome – обаятельный, привлекательный
wistfulness – тоскливость, печаль
xenial – гостеприимный, дружелюбный
xeniality – гостеприимство
yare – подвижный, ловкий
zealousness – рьяность, усердие
zenith – зенит, апогей
